nombre,zona,tipo_cocina,instagram,web_o_fuente,prioridad,notas
Asato Sushi,Olivos (Vicente López),sushi japonés,@asatosushi,https://www.timeout.com/es/buenos-aires/donde-comer-zona-norte-restaurantes-san-isidro-vicente-lopez-tigre-pilar-nordelta,A,Recomendado TimeOut zona norte
Selvaggio,San Isidro,picadas y vinos,@selvaggio.ba,https://www.timeout.com/es/buenos-aires/donde-comer-zona-norte-restaurantes-san-isidro-vicente-lopez-tigre-pilar-nordelta,A,Recomendado TimeOut zona norte
Mostrador Santa Teresita,Olivos (Vicente López),cocina de producto,@mostrador.olivos,https://www.timeout.com/es/buenos-aires/donde-comer-zona-norte-restaurantes-san-isidro-vicente-lopez-tigre-pilar-nordelta,B,De Fernando Trocca (chef reconocido); mesas sobre el río
L'Atelier Bistró,Martínez (San Isidro),francesa,@bistrolatelier,https://www.timeout.com/es/buenos-aires/donde-comer-zona-norte-restaurantes-san-isidro-vicente-lopez-tigre-pilar-nordelta,A,Recomendado TimeOut zona norte
Korova,La Lucila (Vicente López),bar y coctelería,,https://malevamag.com/2025/01/27/zona-norte-a-la-altura-siete-propuestas-con-coolness-y-sofisticacion-entre-olivos-y-san-isidro-que-rompen-el-molde-conservador-y-basico/,B,Destacado por Maleva
El Cuartito,Recoleta,pizzería clásica,@cuartito_paginaoficial,https://www.timeout.com/es/buenos-aires/mejores-pizzerias-de-buenos-aires-pizza-al-molde-napoletana-kalis-el-cuartito-la-mezzetta,B,Talcahuano 937; icónica desde 1934
La Mezzetta,Villa Ortúzar,pizzería clásica,@pizzerialamezzetta,https://www.timeout.com/es/buenos-aires/mejores-pizzerias-de-buenos-aires-pizza-al-molde-napoletana-kalis-el-cuartito-la-mezzetta,B,Av. Álvarez Thomas 1321; fugazzeta histórica
El Cedrón,Mataderos,pizzería de barrio,@el_cedron,https://www.timeout.com/es/buenos-aires/mejores-pizzerias-de-buenos-aires-pizza-al-molde-napoletana-kalis-el-cuartito-la-mezzetta,A,Av. Alberdi 6101
Pirilo,San Telmo,pizzería de barrio,,https://www.timeout.com/es/buenos-aires/mejores-pizzerias-de-buenos-aires-pizza-al-molde-napoletana-kalis-el-cuartito-la-mezzetta,B,Defensa 821; sin IG mencionado
San Antonio,Boedo,pizzería de barrio,@pizzeriasanantoniook,https://www.timeout.com/es/buenos-aires/mejores-pizzerias-de-buenos-aires-pizza-al-molde-napoletana-kalis-el-cuartito-la-mezzetta,A,Av. Juan de Garay 3602
Roma del Abasto,Abasto,pizzería,@romadelabasto,https://www.timeout.com/es/buenos-aires/mejores-pizzerias-de-buenos-aires-pizza-al-molde-napoletana-kalis-el-cuartito-la-mezzetta,A,Anchorena 806
Garito Loyola,Villa Crespo,pizzería,@garitoloyola,https://www.timeout.com/es/buenos-aires/mejores-pizzerias-de-buenos-aires-pizza-al-molde-napoletana-kalis-el-cuartito-la-mezzetta,A,Loyola 1184
Kalis Pizza,Núñez,pizzería,@kalis.pizza,https://www.timeout.com/es/buenos-aires/mejores-pizzerias-de-buenos-aires-pizza-al-molde-napoletana-kalis-el-cuartito-la-mezzetta,A,O'Higgins 3578
Núvola,San Nicolás (Microcentro),pizzería napoletana,@nuvola.ar,https://www.timeout.com/es/buenos-aires/mejores-pizzerias-de-buenos-aires-pizza-al-molde-napoletana-kalis-el-cuartito-la-mezzetta,A,Reconquista 479
Togni's Pizza,Belgrano,pizzería,@tognispizza,https://www.timeout.com/es/buenos-aires/mejores-pizzerias-de-buenos-aires-pizza-al-molde-napoletana-kalis-el-cuartito-la-mezzetta,A,Blanco Encalada 1665
Totti Pinsa di Roma,Colegiales,pinsa romana,@tottipinsadiromaba,https://www.timeout.com/es/buenos-aires/mejores-pizzerias-de-buenos-aires-pizza-al-molde-napoletana-kalis-el-cuartito-la-mezzetta,A,Av. Jorge Newbery 3001
Bravo,Palermo,pizzería,@ganasdebravo,https://www.timeout.com/es/buenos-aires/mejores-pizzerias-de-buenos-aires-pizza-al-molde-napoletana-kalis-el-cuartito-la-mezzetta,A,Cabrera 3533
Mojarras,Quilmes,cantina de pescados y pastas,,https://www.tiktok.com/@losgordosmerienda/video/7474749889310772486,B,Andrés Baranda 1572; promos 2x1
Los Gallegos,Quilmes,bodegón español,,https://www.tripadvisor.com.ar/ShowUserReviews-g815526-d4074496-r308613568-Restaurant_Los_Gallegos-Quilmes_Province_of_Buenos_Aires_Central_Argentina.html,B,Pte. Perón 358; rabas y tortilla famosas
Comer Quilmes,Quilmes,bodegón tenedor libre,,https://elbodegondelnautico.com.ar/bodegon/restaurante-comer-quilmes/,C,Tenedor libre de gran volumen
Lo de Mingo,Lomas de Zamora,bodegón,,https://www.cronista.com/clase/gourmet/el-bodegon-popular-del-conurbano-bonaerense-con-platos-abundantes-a-buen-precio-y-recetas-originales/,B,Gorriti 461; más de 10 años
El Secreto,Banfield (Lomas de Zamora),restaurante,,https://www.tripadvisor.com/Restaurants-g1172344-Lomas_de_Zamora_Province_of_Buenos_Aires_Central_Argentina.html,B,Bien reseñado en zona sur
La Popular Bodegón,Temperley (Lomas de Zamora),bodegón,,https://www.tripadvisor.com/Restaurants-g1172344-Lomas_de_Zamora_Province_of_Buenos_Aires_Central_Argentina.html,B,Bodegón de zona sur
Tres Restaurante,Temperley (Lomas de Zamora),restaurante,,https://www.tripadvisor.com/Restaurants-g1172344-Lomas_de_Zamora_Province_of_Buenos_Aires_Central_Argentina.html,B,Bien reseñado en zona sur
La Pipeta,San Nicolás (Microcentro),bodegón,,https://www.timeout.com/es/buenos-aires/bodegones-mejores-propuestas-para-comer-rico-y-barato,B,San Martín 498; clásico del centro
Farfán,San Nicolás (Microcentro),bodegón,,https://www.timeout.com/es/buenos-aires/bodegones-mejores-propuestas-para-comer-rico-y-barato,B,Fundado 1961; sótano del ex cabaret Gong
Viraró Bodegón,San Nicolás (Microcentro),bodegón,,https://virarobodegon.com.ar/,B,Sarmiento 1334; edificio Club El Progreso; con web propia
Spiagge di Napoli,Boedo,cantina italiana,,https://www.timeout.com/es/buenos-aires/bodegones-mejores-propuestas-para-comer-rico-y-barato,B,Av. Independencia 3527; sin reservas y con filas
Haiku,Palermo,sushi omakase,,https://www.timeout.com/es/buenos-aires/sushi-omakase-en-buenos-aires,B,Nicaragua 5952; barra de Takeshi Shimada
Mutsuhito,Palermo,sushi omakase,,https://www.timeout.com/es/buenos-aires/sushi-omakase-en-buenos-aires,B,Honduras 5908; omakase de 17 pasos
Buri Omakase,Palermo Viejo,sushi omakase,,https://www.cronista.com/clase/gourmet/que-es-el-sushi-omakase-y-los-mejores-lugares-donde-comer-en-buenos-aires/,B,Fitz Roy 2072; barra para 14
Antro,Villa Crespo,sushi omakase,,https://www.timeout.com/es/buenos-aires/sushi-omakase-en-buenos-aires,B,Gurruchaga 1145; 15 pasos estilo cueva
Cruz Omakase,Belgrano,sushi omakase,,https://www.infogastronomica.com.ar/los-restaurantes-omakase-se-expanden-9-que-se-destacan-en-buenos-aires-y-alrededores/,B,Ambiente descontracturado
Gokana,Belgrano,sushi japonés,,https://www.infogastronomica.com.ar/los-restaurantes-omakase-se-expanden-9-que-se-destacan-en-buenos-aires-y-alrededores/,B,Ambiente descontracturado
Uni,Palermo,sushi y sakes,,https://www.timeout.com/es/buenos-aires/sushi-omakase-en-buenos-aires,B,Mencionado por Guía Michelin; local escondido
El Papagayo,Córdoba capital (Centro),cocina de autor,,https://www.cronista.com/clase/break/cordoba-foodie-del-restaurante-mas-angosto-del-pais-a-un-food-hall-con-gintoneria/,B,Restaurante más angosto del país (2.30 m)
Khaosan Thai Food,Córdoba capital (Güemes),tailandesa,,https://circuitogastronomico.com/los-mejores-lugares-para-conocer-barrio-guemes-en-cordoba/,B,Belgrano 867 local 9
La Cova del Drac,Córdoba capital (Güemes),bar y cocina,,https://circuitogastronomico.com/los-mejores-lugares-para-conocer-barrio-guemes-en-cordoba/,B,Belgrano 892; premiado desde 2012
Standard 69,Córdoba capital (Güemes),tapas de autor,,https://circuitogastronomico.com/los-mejores-lugares-para-conocer-barrio-guemes-en-cordoba/,B,Achával Rodríguez 244; Galería Barrio
Brunchería,Córdoba capital (Güemes),brunch y spritzería,,https://circuitogastronomico.com/los-mejores-lugares-para-conocer-barrio-guemes-en-cordoba/,B,Achával Rodríguez 244; Galería Barrio
Chinchibira,Rosario (Pichincha),coctelería y cocina de autor,,https://www.morfar.org/posts/bares-raros-y-desconocidos-de-rosario,B,Esquina destacada de Pichincha; quizás la mejor barra de Rosario
Tora Izakaya,Rosario (Pichincha),japonesa izakaya,,https://wanderlog.com/list/geoCategory/7740/best-bars-and-drinks-in-rosario,B,Cerveza artesanal y estética animé
Feuer,Rosario (Pichincha),cocina con opciones veggie,,https://wanderlog.com/list/geoCategory/7740/best-bars-and-drinks-in-rosario,B,Música en vivo y DJs
Fenicia Brewing Co.,Rosario (Pichincha),cervecería restaurante,,https://wanderlog.com/list/geoCategory/7740/best-bars-and-drinks-in-rosario,B,Primera craft brewery de Rosario (2010)
Ajoarriero,Rosario (Pichincha),mediterránea de autor,,https://disfrutarosario.com/los-mejores-restaurantes-en-rosario/,B,Pescados y mariscos
El Popular Pichincha,Rosario (Pichincha),bodegón,,https://www.tripadvisor.com/RestaurantsNear-g312809-d13867422-El_Popular_Pichincha-Rosario_Province_of_Santa_Fe_Litoral.html,B,Bodegón del barrio Pichincha
El Parrillón de Pichincha,Rosario (Pichincha),parrilla,,https://www.tripadvisor.com/RestaurantsNear-g312809-d8490010-El_Parrillon_de_Pichincha-Rosario_Province_of_Santa_Fe_Litoral.html,B,Parrilla del barrio Pichincha
